Index,DOI,Title,Abstract,Study Population
0,10.1186/s12890-023-02729-5,Association between chronic obstructive pulmonary disease and 28-day mortality in patients with sepsis: a retrospective study based on the MIMIC-III database,"Sepsis is a common cause of mortality in critically ill patients, and chronic obstructive pulmonary disease (COPD) is one of the most common comorbidities in septic patients. However, the impact of COPD on patients with sepsis remained unclear. Therefore, the purpose of this study aimed to assess the effect of COPD on the prognosis of septic patients based on Medical Information Mart for Intensive Care (MIMIC-III) database.","We focused on septic patients defined by sepsis-3 criteria; Briefly, patients with documented or suspected infection and an acute change in total SOFA score of ≥ 2 points were defined as sepsis. COPD was identified using ICD-9 codes (4660, 490, 4910, 4911, 49,120,49,121, 4918, 4919, 4920, 4928, 494, 4940, 4941, 496) "
1,10.3389/fnut.2022.834256,Geriatric Nutritional Risk Index is Associated with Hospital Death in Elderly Patients with Multiple Organ Dysfunction Syndrome: A Retrospective Study Based on the MIMIC-III Database,"Elderly patients with multiple organ dysfunction syndrome (MODS) have a higher mortality during hospitalization in the intensive care unit (ICU). Elderly patients often suffer from malnutrition. On the basis of the MIMIC-III database, this study analyzed the effect of the baseline nutritional status on the death of elderly patients with MODS during hospitalization.","The inclusion criteria are as follows: (1) age ≥ 65 years; (2) first admission to ICU (for elderly patients admitted to the ICU multiple times, only the first data are collected); (3) retention time in ICU ≥ 24 h; (4) sequential organ failure SOFA score ≥ 2 points and involvement of at least two organs; and (5) HR, RR, MAP, GCS, T, and SPO2 are measured at least once. The exclusion criteria are as follows: (1) loss of key data, such as the first SOFA and the first simplified acute physiology score I and (2) loss to follow-up."
2,10.3389/fphys.2023.1142329,Early human albumin administration is associated with reduced mortality in septic shock patients with acute respiratory distress syndrome: A retrospective study from the MIMIC-III database,Sepsis-induced acute respiratory distress syndrome (ARDS) was associated with higher mortality. It is unclear whether albumin supplementation early in the course of ARDS can affect the prognostic outcomes of septic shock (SS) patients with ARDS.,"The inclusion criteria were: (I) patients with the diagnosis of sepsis based on sepsis-3, which defined as patients with suspected or confirmed infection, together with an acute change in total SOFA scores ≥ 2. The method developed by Angus was used to diagnose sepsis, and the patients were identified according to the ICD-9 code in the MIMIC-III database; (II) patients with SS, which was defined as patients who were supported with vasopressor within 24 h after ICU admission; (III) patients with ARDS. In combination with the Berlin definition and the disease diagnosis, we selected the patient who has a PaO2/FiO2 ≤ 300 and used mechanical ventilation with a minimum requirement for PEEP ≥ 5 cmH2O on the first day of entering the ICU. The patients (I) who were under 18 years old, (II) complicated by a malignant tumor, rheumatism, or autoimmune disease, (III) who had a length of stay in the ICU less than 24 h; (IV) who were administered human albumin after 24 h in the ICU were excluded."
3,10.3389/fphar.2023.1118551,Association between glucocorticoid use and all-cause mortality in critically ill patients with heart failure: A cohort study based on the MIMIC-III database,The aim of this study was to determine the association between glucocorticoid use and all-cause mortality in critically ill patients with heart failure.,"Patients diagnosed with HF according to the disease codes of ICD-9 were included in the study. Exclusion criteria were as follows: 1) age < 18 years, 2) age > 90 years, and 3) not the first hospitalization."
4,10.1017/S0950268821002235,Long-term mortality predictors of ICU fungaemia,This study aimed to explore the mortality of fungaemia and the influencing factors associated with death,The inclusion criteria were:(1) patients who had positive fungal blood culture test and received antifungal therapy and (2)patients who were over 18 years old. The exclusion criteria were patients with incomplete data.
5,10.3389/fmed.2021.773339,Favorable Outcomes of Anticoagulation With Unfractioned Heparin in Sepsis-Induced Coagulopathy: A Retrospective Analysis of MIMIC-III Database,Anticoagulation in sepsis-associated disseminated intravascular coagulation (DIC) remains uncertain. The aim of this study was to investigate whether unfractioned heparin (UFH) could improve clinical outcomes in patients,"Patients were eligible if they (1) ≥18 years old; (2) Met the definition of Sepsis 3.0 criteria, which was defined as a suspected infection combined with an acute increase in SOFA score ≥2 (12). (3) SIC score ≥ 4 according to their worst daily SIC-related values during ICU stay. The exclusion criteria included, (1) Age < 18 years; (2) ICU stay < 48h; (3) Patients with various cancer types due to their abnormal coagulation function; (4) History of heparin-induced thrombocytopenia; (5) Impaired renal function with estimated glomerular filtration rate (eGFR) <30 ml/min; (6) Concomitant anticoagulant treatment of warfarin; (7) History of embolism and thrombosis; (8) Administration of Low Molecular Weight Heparin (LMWH) due to few cases; (9) Decompensated liver cirrhosis; (10) Missing data >10%."
6,10.1016/j.amjms.2022.01.004,"Mortality, disease progression, and disease burden of acute kidney injury in alcohol use disorder subpopulation",The aim of the study was to quantify the relationship between acute kidney injury (AKI) and alcohol use disorder (AUD).,"Encounters with no raw data, encounters with no age data, and pediatric encounters (age < 18) were excluded."
7,10.21037/atm-21-992,Minimum heart rate and mortality in critically ill myocardial infarction patients: an analysis of the MIMIC-III database,"Low minimum heart rate (MHR) is common in critically ill myocardial infarction (MI) patients. However, the association between MHR and the mortality of critically ill MI patients remains unclear.",We included ICU patients diagnosed with MI using ICD-9 diagnosis codes in this study.
8,10.1186/s12871-023-02047-7,"Association between different MAP levels and 30-day mortality in sepsis patients: a propensity-score-matched, retrospective cohort study","Sepsis is a life-threatening organ dysfunction caused by the infection-related host response disorder. Adequate mean arterial pressure is an important prerequisite of tissue and organ perfusion, which runs through the treatment of sepsis patients, and an appropriate mean arterial pressure titration in the early-stage correlates to the positive outcome of the treatment. Therefore, in the present study, we aimed to elucidate the relationship between early mean arterial pressure levels and short-term mortality in sepsis patients.",We included all suspected sepsis patients who met the diagnostic criteria of suspected infection with a SOFA score ≥ 2 according to the third international consensus definition of sepsis and septic shock (Sepsis-3.0). The patients who met the following criteria were excluded: ① patients who were not admitted to ICU for the first time; ② patients younger than 18 years old; ③ patients with MAP average less than 60 mmHg on the first day of ICU admission; ④ patients with inaccurate recorded time of death.
9,10.21037/jtd-20-2824,Overweight is associated with better one-year survival in elderly patients after cardiac surgery: a retrospective analysis of the MIMIC-III database,"The relationship of body mass index (BMI) to short- and long-term outcomes after cardiac surgery remains controversial, and the dose-response relationship between BMI and mortality in patients receiving cardiac surgery is unclear. Furthermore, the influence of age, concomitant disease, and types of surgery on the prognostic role of BMI has yet to be determined.",All patients receiving open-heart surgery under extracorporeal circulation (ICD-9 code: 3961) were initially screened. Patients older than 18 years old and with weight and height records were included in the study.
